d_over_a,xi_over_a,theta_degrees,sites_per_layer,intralayer_second_moment,interlayer_second_moment,total_second_moment,identity_absolute_error
0.99,0.03,0.0,1510,2.9284768211920613,1.9477340410594428,4.876210862251504,2.220446049250313e-16
0.99,0.03,1.5,1510,2.9284768211920613,0.13806062656134133,3.066537447753402,4.440892098500626e-16
0.99,0.03,3.0,1510,2.9284768211920613,0.13636039898078767,3.0648372201728487,3.3306690738754696e-16
0.99,0.03,4.5,1510,2.9284768211920613,0.16292921577258088,3.0914060369646434,1.2490009027033011e-15
0.99,0.03,6.0,1510,2.9284768211920613,0.1359855133179683,3.06446233451003,5.273559366969494e-16
0.99,0.03,7.499999999999999,1510,2.9284768211920613,0.1376960547140456,3.066172875906107,1.6653345369377348e-16
0.99,0.03,9.0,1510,2.9284768211920613,0.14273421729775101,3.0712110384898117,6.38378239159465e-16
0.99,0.03,10.499999999999998,1510,2.9284768211920613,0.14132213200881555,3.069798953200876,8.326672684688674e-16
0.99,0.03,12.0,1510,2.9284768211920613,0.13852083448938468,3.0669976556814453,6.661338147750939e-16
0.99,0.03,13.5,1510,2.9284768211920613,0.13198248670213292,3.0604593078941944,1.6653345369377348e-16
0.99,0.03,14.999999999999998,1510,2.9284768211920613,0.14365866449563602,3.0721354856876975,1.1102230246251565e-16
0.99,0.03,16.499999999999996,1510,2.9284768211920613,0.14777571483533697,3.076252536027398,4.996003610813204e-16
0.99,0.03,18.0,1510,2.9284768211920613,0.1424792651856104,3.070956086377672,1.942890293094024e-16
0.99,0.03,19.5,1510,2.9284768211920613,0.13977527103555218,3.068252092227614,6.938893903907228e-16
0.99,0.03,20.999999999999996,1510,2.9284768211920613,0.13992436342198053,3.0684011846140433,1.4710455076283324e-15
0.99,0.03,22.5,1510,2.9284768211920613,0.1337549092361424,3.062231730428204,1.3877787807814457e-16
0.99,0.03,24.0,1510,2.9284768211920613,0.1404853050324384,3.0689621262245006,8.881784197001252e-16
0.99,0.03,25.499999999999996,1510,2.9284768211920613,0.14018406570119657,3.0686608868932583,4.440892098500626e-16
0.99,0.03,27.0,1510,2.9284768211920613,0.1382257344211757,3.0667025556132375,4.440892098500626e-16
0.99,0.03,28.5,1510,2.9284768211920613,0.1370838683638099,3.065560689555871,8.326672684688674e-17
0.99,0.03,29.999999999999996,1510,2.9284768211920613,0.14096224050815334,3.069439061700215,5.273559366969494e-16
0.99,0.03,31.5,1510,2.9284768211920613,0.14397291702432208,3.072449738216384,3.885780586188048e-16
0.99,0.03,32.99999999999999,1510,2.9284768211920613,0.14271151543143903,3.0711883366235004,8.326672684688674e-17
0.99,0.03,34.5,1510,2.9284768211920613,0.1349006208763608,3.063377442068422,2.220446049250313e-16
0.99,0.03,36.0,1510,2.9284768211920613,0.1421013755861395,3.0705781967782015,7.216449660063518e-16
0.99,0.03,37.49999999999999,1510,2.9284768211920613,0.14286788659664051,3.071344707788702,3.3306690738754696e-16
0.99,0.03,39.0,1510,2.9284768211920613,0.14263392478789005,3.071110745979952,6.661338147750939e-16
0.99,0.03,40.5,1510,2.9284768211920613,0.13554965309127637,3.0640264742833385,8.326672684688674e-16
0.99,0.03,41.99999999999999,1510,2.9284768211920613,0.1317153216210054,3.060192142813067,2.220446049250313e-16
0.99,0.03,43.5,1510,2.9284768211920613,0.14745417519697757,3.075930996389039,0.0
0.99,0.03,45.0,1510,2.9284768211920613,0.1390846335997629,3.067561454791825,8.604228440844963e-16
0.99,0.03,46.49999999999999,1510,2.9284768211920613,0.14682730903590843,3.0753041302279693,4.163336342344337e-16
0.99,0.03,48.0,1510,2.9284768211920613,0.13725242682414446,3.0657292480162055,2.7755575615628914e-16
0.99,0.03,49.5,1510,2.9284768211920613,0.14706112514843714,3.075537946340499,5.828670879282072e-16
0.99,0.03,50.99999999999999,1510,2.9284768211920613,0.1418853541066735,3.0703621752987353,5.273559366969494e-16
0.99,0.03,52.5,1510,2.9284768211920613,0.1347760888244517,3.0632529100165136,5.551115123125783e-16
0.99,0.03,54.0,1510,2.9284768211920613,0.13783185824051167,3.066308679432573,1.3877787807814457e-16
0.99,0.03,55.49999999999999,1510,2.9284768211920613,0.141576423371522,3.0700532445635837,4.440892098500626e-16
0.99,0.03,57.0,1510,2.9284768211920613,0.1701772867026507,3.098654107894712,5.551115123125783e-17
0.99,0.03,58.5,1510,2.9284768211920613,0.06985266127333775,2.9983294824653997,5.828670879282072e-16
0.99,0.03,59.99999999999999,1510,2.9284768211920613,0.9764468007212986,3.904923621913359,7.771561172376096e-16
0.98,0.03,0.0,1510,2.9284768211920613,3.7936678946907922,6.722144715882854,0.0
0.98,0.03,1.5,1510,2.9284768211920613,0.2661653697060118,3.1946421908980738,6.661338147750939e-16
0.98,0.03,3.0,1510,2.9284768211920613,0.26300178781769995,3.191478609009761,3.885780586188048e-16
0.98,0.03,4.5,1510,2.9284768211920613,0.3142378913007779,3.2427147124928397,4.996003610813204e-16
0.98,0.03,6.0,1510,2.9284768211920613,0.262241549670377,3.1907183708624376,7.216449660063518e-16
0.98,0.03,7.499999999999999,1510,2.9284768211920613,0.2655096059970258,3.1939864271890865,5.551115123125783e-16
0.98,0.03,9.0,1510,2.9284768211920613,0.2752158988909577,3.2036927200830196,6.106226635438361e-16
0.98,0.03,10.499999999999998,1510,2.9284768211920613,0.2724996297582945,3.2009764509503555,2.7755575615628914e-16
0.98,0.03,12.0,1510,2.9284768211920613,0.26708893909978476,3.1955657602918466,4.996003610813204e-16
0.98,0.03,13.5,1510,2.9284768211920613,0.2543124168092852,3.1827892380013463,2.220446049250313e-16
0.98,0.03,14.999999999999998,1510,2.9284768211920613,0.2770401381108021,3.205516959302863,2.220446049250313e-16
