series,index,angle_deg,input_present,output_present,cp2k_version,run_type,basis,scf_converged,program_ended,scf_steps,multiplicity,relative_cutoff_ha,input_sha256,output_sha256,atoms,lower_c,upper_c,hydrogen,separation_angstrom,xyz_sha256,input_cutoff,input_ngrids,input_eps_default,input_eps_scf,input_max_scf,input_scf_guess,input_added_mos,input_electronic_temperature,input_periodic,alpha_present,alpha_rows,alpha_fermi_ha,alpha_emin_ev,alpha_emax_ev,alpha_sha256,alpha_output_mos,alpha_electrons,alpha_rows_match_output,beta_present,beta_rows,beta_fermi_ha,beta_emin_ev,beta_emax_ev,beta_sha256,beta_output_mos,beta_electrons,beta_rows_match_output
DZVP_IL_25/IL_25_z2-15,19,41.4,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,31,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,41cc45b477c937c954056bb91ac74d64cab2d44d489e7d0e53751afad2f7973f,2334,1250,988,96,2.15,a0b32b18bfeba2552dbeddc88b67ec8a1c1fe7d5be6c7cc5d184ccfd5b8b22af,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4824,0.030072,-21.434271119880002,2.451446373176,16a4e899462bff919109cda8341cba2979b0455093dc47c5a2bd221469ca72af,4824,4524,True,True,4824,0.030072,-21.434271119880002,2.451446373176,16a4e899462bff919109cda8341cba2979b0455093dc47c5a2bd221469ca72af,4824,4524,True
DZVP_IL_25/IL_25_z2-15,1,30.6,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,52,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,5e72cbb5471d5f0717f2fe7a08d29251fa8a3ee572590dafbcab46daafcf7569,2358,1250,1009,99,2.15,f594ccec6a6c699fc92b852d39d44390171c3b70f919bd35e6e54c50532748a3,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4868,0.030969,-21.377236059016,2.407200662792,5cc98b4a6b6b9ee7fb374f67989c73053f9d12fec31f6e615f9633f463bf81ea,4868,4568,True,True,4867,0.030969,-21.377236059016,2.40426183332,d3660ddc58dee566b9306828c6e73de2c8ef9cf74f74a12c6fbfe108d47fb651,4867,4567,True
DZVP_IL_25/IL_25_z2-15,20,42.0,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,29,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,259be14ba2541cf1b26fd9477ca9f87b4dbba2984537b0c4ee1fe745d6d4b8f3,2334,1250,989,95,2.15,b96c11798f95fc3324052126a28b37bdea255813ebac869543d64af7cdc5a72e,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4826,0.029839,-21.432937762063997,2.43215350192,b562c38e7b2e8968e59a58e44e9939902d0194f3cd0e69a0170054a7e8abdd85,4826,4526,True,True,4825,0.029839,-21.432937762063997,2.4256499811439998,9eabf8c4406e715221835b34e2a845e1ecf213ac5129ec4c8137b787744f7901,4825,4525,True
DZVP_IL_25/IL_25_z2-15,21,42.6,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,29,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,e593264a8d7137de9735e87099bba09c04cb7365a6a8d8236f936fb5a323a209,2334,1250,989,95,2.15,f83b4480604caef5293f24bd9d9f6b2050a1eb3d87b4b4c71c1dc3f2c7882327,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4826,0.029747,-21.424148485032,2.415173598304,35d6b6e72c09b8ac9d3a622976d3eeda9eac019bbda3412b6d7265148eca0606,4826,4526,True,True,4825,0.029747,-21.424121273647998,2.4109286223999997,2a79564ea994cc8085c78b36d6380cf8c59237a4211a181637650c06a4ed4b97,4825,4525,True
DZVP_IL_25/IL_25_z2-15,22,43.2,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,26,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,c50e9626b4a734c7a8da0451015bde331d0376ea0ba9e32c60f8c9d9cac90018,2332,1250,988,94,2.15,a924d7b716f04bba98e877e597e32cbebfb4bd672a7a8c8bbaa07fd6dfdc7458,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4823,0.029647,-21.406569930967997,2.38426146608,f2a350b90dc2d952d2f598246cb54e3b688b3357b8ea53dfe0b881f120bc61ce,4823,4523,True,True,4823,0.029647,-21.406569930967997,2.38426146608,54afe898c76a5a0a8f224bd4f6e97933d598748da66f662b02e7e2635c8b527e,4823,4523,True
DZVP_IL_25/IL_25_z2-15,23,43.8,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,28,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,ff6462d781f827fbac3572df833116e347844ac9ff2869ac7002c71720c37070,2328,1250,985,93,2.15,cdbd678b15f1ed2143f8cd982fe8012c7038e389150fad982a36307b1e24d6fa,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4817,0.028635,-21.37821566884,2.391173157616,a7bc5a56c24f6ea62ac417cd4d6d7f4348cc8c9b04cde33eb515e1f5def540a0,4817,4517,True,True,4816,0.028635,-21.37821566884,2.387227506936,41f9a525e73e40029e84089b2892aa8fb9f9a674e73fad9f3d054a2ea372f93d,4816,4516,True
DZVP_IL_25/IL_25_z2-15,24,44.4,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,28,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,4983f89202b69c6326ccd48f47e3f67df5b83fafd1eb32fec626c4236b8464bf,2330,1250,986,94,2.15,25502eb729cf3b1bd7aeae71accfd0d87639ca34478caa0307fa96e9b62cb30e,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4819,0.02837,-21.37032436748,2.382057343976,d0799c49a1aa792cbcd8524d1712a105ad88f7e4d01cb600abcb060f6ce6f2ca,4819,4519,True,True,4819,0.02837,-21.37032436748,2.382057343976,d0799c49a1aa792cbcd8524d1712a105ad88f7e4d01cb600abcb060f6ce6f2ca,4819,4519,True
DZVP_IL_25/IL_25_z2-15,25,45.0,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,33,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,eec5a29d44a7ba6a1ab9385a2226dbf6211bed08eeb5ea7a6683eb4aebf3f6a2,2328,1250,984,94,2.15,11f8f1922082b1042b023d898c9c38f6da08f26c59fd47a390fe019600713920,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4815,0.028138,-21.373099928648,2.3590909358800003,cd167ed189b749dda896fd8540811b57bc4160be697bea2cfdbbd43932a1fd4e,4815,4515,True,True,4815,0.028138,-21.373099928648,2.3590909358800003,cd167ed189b749dda896fd8540811b57bc4160be697bea2cfdbbd43932a1fd4e,4815,4515,True
DZVP_IL_25/IL_25_z2-15,26,45.6,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,73,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,7777a885b1147456424c8c49002795e8988ca31694adf308d6244d77c5892419,2324,1250,983,91,2.15,41efb1c1afa69b621193fdf090a82ac9bcccb9b3294b3e71adccd19e56ebe279,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4812,0.02836,-21.392120686064,2.321212689352,34bc517b9f7879b2e579471d0ce38be04f37535be971e86d667fb3cd7425ab98,4812,4512,True,True,4811,0.02836,-21.392120686064,2.314709168576,bb4dbd514ecc96b1f8b99a0af90859aba17716e92f118bcf5af23cbdde53b12d,4811,4511,True
DZVP_IL_25/IL_25_z2-15,27,46.2,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,104,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,2afba9fe0432db6cd10d1fd1f3d49a94b3bf426a3ccf3e299dde195a85ce87f6,2324,1250,983,91,2.15,99d6ed55d5eb4115cf6b92c9db16e83658a00f7888d061aae46e7f04234f1820,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4812,0.027834,-21.385671588056002,2.339716430472,3ca2bad154257515e9b8ed24fd0393ef554de011b31fdacbd2958357230d0245,4812,4512,True,True,4811,0.027834,-21.385671588056002,2.330192446072,24d99bffafac8450284bb3b68950d71a7d48404b64608ad1be141b7218aa27b6,4811,4511,True
